B,F,B,F,D,F,B
B,E,B,E,D,E,B
E,E,F,E,G,E,F
E,F,F,C,D,G,F
G,G,D,C,D,F,B
D,G,D,F,G,F,B
D,C,E,G,G,C,F
C,C,G,G,C,C,F
C,F,A,F,C,F,B
G,F,A,C,B,F,B
G,C,A,C,F,C,E
G,C,C,E,F,C,E
F,F,D,E,B,E,D
D,F,F,G,B,E,D
D,E,F,E,F,F,G
B,E,G,E,D,E,F
B,E,D,D,D,E,F
G,C,D,F,D,F,F
G,C,B,F,B,F,F
F,D,G,E,B,B,D
G,D,G,F,E,B,F
G,F,G,F,E,C,D
F,E,B,B,B,D,D
SC,SC,SC,SC,SC,SC,SC
B,F,E,G,F,C,D
D,G,E,E,F,C,D
D,F,B,E,B,E,F
F,F,D,F,D,E,F
F,C,D,E,D,E,G
F,C,G,A,C,D,F
F,E,F,A,C,C,F
F,E,F,A,G,C,E
F,C,E,F,G,G,F
B,C,G,E,C,E,E
B,E,F,E,G,E,E
E,F,E,F,G,F,D
B,F,E,E,D,F,D
B,C,B,F,D,F,G
B,B,B,F,B,F,G
D,C,C,F,G,F,B
D,C,G,F,D,E,B
B,G,G,E,D,E,G
D,G,F,E,F,D,G
D,E,A,C,F,A,F
G,C,A,C,F,A,F
G,E,D,E,F,A,D
B,E,D,E,F,F,D
B,F,E,F,C,F,F
C,E,D,F,D,C,D
C,E,D,G,D,C,D
D,D,E,D,F,C,F
D,C,F,D,D,B,F
F,C,F,C,G,B,G
F,F,E,E,G,D,E
B,F,G,E,G,D,G
B,F,F,F,C,C,D
E,G,F,C,C,C,D
E,E,F,C,E,F,F
F,G,F,F,E,F,F
G,E,E,C,G,C,F
G,E,E,C,F,C,C
F,F,B,E,F,E,C
D,C,B,G,E,E,E
D,F,D,G,F,C,E
F,F,G,E,D,F,B
F,G,G,B,D,F,B
F,C,D,B,F,G,F
E,C,D,C,A,G,F
F,F,F,F,A,E,D
F,F,F,F,A,D,D
E,C,C,C,C,E,F
G,F,C,C,B,E,F
G,F,F,F,B,G,D
C,F,D,G,F,E,D
D,F,D,E,F,E,B
A,D,D,E,F,F,D
A,D,E,G,C,F,D
D,E,B,F,C,F,D
D,C,D,E,F,F,C
E,G,D,E,D,F,B
F,G,F,C,D,F,B
D,F,F,C,B,C,E
D,C,D,F,B,C,E
F,E,D,F,B,F,B
F,E,F,E,E,C,B
