B,F,B,F,D,F,B
B,E,B,E,D,E,B
E,E,F,E,G,E,F
E,F,F,C,D,G,F
G,G,D,C,D,F,B
D,G,D,F,G,F,B
D,C,E,G,G,C,F
C,C,G,G,C,C,F
C,F,A,F,C,F,B
G,F,A,C,B,F,B
G,C,A,C,F,C,E
G,C,C,E,F,C,E
F,F,D,E,B,E,D
D,F,F,G,B,E,D
D,E,F,E,F,F,G
B,E,G,E,D,E,F
B,E,D,D,D,E,F
G,C,D,F,D,F,F
G,C,B,F,B,F,F
F,D,G,E,B,B,D
G,D,G,F,E,B,F
G,F,G,F,E,C,D
F,E,B,B,B,D,D
SC,SC,SC,SC,SC,SC,SC
B,F,E,G,F,C,D
D,G,E,E,F,C,D
D,F,B,E,B,E,F
F,F,D,F,D,E,F
F,C,D,E,D,E,G
F,C,G,A,C,D,F
F,E,F,A,C,C,F
F,E,F,A,G,C,E
F,C,E,F,G,G,F
B,C,G,E,C,E,E
B,E,F,E,G,E,E
E,F,E,F,G,F,D
B,F,E,E,D,F,D
B,C,B,F,D,F,G
B,B,B,F,B,F,G
D,C,C,F,G,F,B
D,C,G,F,D,E,B
B,G,G,E,D,E,G
D,G,F,E,F,D,G
SC,SC,SC,SC,SC,SC,SC
G,C,A,C,F,A,F
G,E,D,E,F,A,D
B,E,D,E,F,F,D
B,F,E,F,C,F,F
C,E,D,F,D,C,D
C,E,D,G,D,C,D
D,D,E,D,F,C,F
D,C,F,D,D,B,F
F,C,F,C,G,B,G
F,F,E,E,G,D,E
B,F,G,E,G,D,G
B,F,F,F,C,C,D
E,G,F,C,C,C,D
E,E,F,C,E,F,F
F,G,F,F,E,F,F
G,E,E,C,G,C,F
G,E,E,C,F,C,C
F,F,B,E,F,E,C
D,C,B,G,E,E,E
D,F,D,G,F,C,E
F,F,G,E,D,F,B
F,G,G,B,D,F,B
F,C,D,B,F,G,F
E,C,D,C,A,G,F
F,F,F,F,A,E,D
F,F,F,F,A,D,D
E,C,C,C,C,E,F
G,F,C,C,B,E,F
A,A,A,A,A,A,A
A,A,A,A,A,A,A
A,A,A,A,A,A,A
A,A,A,A,A,A,A
D,E,B,F,C,F,D
D,C,D,E,F,F,C
E,G,D,E,D,F,B
F,G,F,C,D,F,B
D,F,F,C,B,C,E
D,C,D,F,B,C,E
F,E,D,F,B,F,B
F,E,F,E,E,C,B
C,G,F,F,B,C,G
C,F,G,F,B,F,D
B,E,G,E,E,F,D
F,E,F,B,E,E,B
F,F,D,B,B,F,G
B,F,G,D,B,F,G
B,C,G,E,F,C,F
F,C,D,A,F,C,C
F,E,B,A,D,E,C
G,D,B,C,C,F,F
G,D,D,D,F,F,D
F,E,F,D,F,B,D
D,C,F,C,G,B,E
D,C,B,C,F,D,F
B,C,F,F,F,D,F
E,F,F,F,E,E,E
E,E,G,C,F,D,F
B,A,D,C,F,E,F
B,A,D,F,D,E,A
F,E,F,F,D,E,A
F,C,F,C,E,G,A
B,C,F,C,D,C,G
B,B,F,E,E,C,D
F,C,B,C,E,B,D
F,C,B,C,G,C,B
C,F,D,C,C,C,G
C,F,E,E,C,B,G
F,C,E,C,G,F,B
E,C,D,E,G,F,G
B,E,F,E,B,F,E
B,E,E,G,B,F,E
F,F,G,E,G,E,F
F,E,G,E,G,E,B
F,F,D,C,F,C,F
C,F,D,C,D,G,F
F,D,B,F,D,G,B
C,F,D,F,F,E,B
C,D,D,E,D,C,D
G,E,B,B,F,C,D
C,E,F,B,F,F,E
G,C,F,E,B,F,B
F,C,E,E,B,C,B
F,F,F,F,C,C,B
B,F,F,G,D,D,F
B,F,E,G,D,F,G
D,B,E,C,F,F,B
B,D,B,C,E,F,F
B,D,B,F,F,E,F
G,G,D,C,F,F,F
G,D,G,C,F,E,F
F,E,G,F,G,E,D
G,E,D,F,C,B,D
G,E,F,G,F,B,G
F,B,C,F,F,G,G
F,C,C,G,C,F,D
E,E,E,F,C,F,D
E,E,F,F,F,D,B
B,C,F,F,E,E,C
B,C,E,B,G,F,C
A,A,A,A,A,A,A
F,F,F,D,E,E,F
F,F,G,B,B,F,F
F,F,F,F,B,D,B
A,A,A,A,A,A,A
A,A,A,A,A,A,A
A,A,A,A,A,A,A
A,A,A,A,A,A,A
C,G,D,E,D,F,D
D,G,B,D,B,C,F
D,E,D,C,B,C,F
F,D,D,C,B,E,C
D,E,B,D,D,E,D
F,E,D,F,E,C,D
F,F,D,F,B,F,D
B,D,F,F,B,F,E
B,F,F,B,F,C,D
G,F,F,C,F,E,E
B,F,B,C,C,E,E
G,E,E,F,F,F,F
G,A,E,C,C,E,G
G,A,B,E,C,E,F
D,A,B,E,B,F,G
C,E,E,F,G,F,G
C,C,F,E,G,E,E
F,F,F,C,C,F,B
C,F,C,C,B,C,D
B,C,F,B,B,B,D
B,C,F,F,C,B,F
F,D,B,F,D,C,B
