L2,L2,L2,M1,L1,H1,H2
S,L1,L3,L2,L1,L2,M2
L2,L1,L3,H2,L3,L1,L3
L3,H1,L1,L3,H2,L3,L3
H1,L1,M1,M1,M1,L1,L2
L3,L1,M1,L3,L3,M2,H2
L3,H1,S,L3,L2,L2,H1
L1,L3,L2,L3,H1,M2,S
S,S,L2,H2,M2,M1,M1
L1,H1,M1,L1,H1,S,L3
S,L3,L2,S,L2,L1,L3
L2,L2,L2,H1,L3,L2,L3
M2,M1,S,M1,L1,L3,L2
L1,L1,M1,L3,L2,L1,S
H1,L2,M1,L3,H2,L2,L2
L1,L2,L3,L3,L2,L1,S
H1,L1,M1,L3,M1,L1,M2
L1,H2,H2,H2,M1,L3,S
L3,M1,L1,S,L1,L3,L3
L2,H1,H1,L3,L1,H1,L3
L2,M1,H2,M1,L1,L2,H1
M1,H2,L3,M1,M2,M2,L1
L1,L3,L2,L1,M2,H2,L1
M2,H1,L3,M1,L3,L1,L1
L1,L3,M2,H2,L3,H2,M1
M2,L3,L2,H2,M2,S,H2
S,M1,L3,L2,L1,H1,L3
L1,M1,H2,L3,L3,S,S
L2,L2,L1,H1,L3,H1,M2
L3,L2,L3,M1,L3,L2,H2
L1,H2,L1,M2,M1,M1,L2
M1,H1,L2,M2,L2,S,H2
L3,L3,L1,M2,L1,H2,L1
L3,L1,L1,H1,H1,H2,L2
M1,H2,M1,M2,L1,H1,H2
M2,M1,L1,L2,L2,H1,M2
L2,M2,L3,L1,M1,M2,M2
L2,H2,L3,L3,H2,H1,L1
L3,M1,L3,H2,M1,L3,L2
M2,L2,L3,M1,L1,L1,S
M2,L3,L1,H2,M2,L1,S
H2,H2,L3,S,L3,L2,S
L1,L2,L3,M1,L3,L3,M1
L2,L1,L3,L3,L1,L3,L1
M2,M2,M1,L2,L2,H2,M2
H1,L2,L2,L2,L3,S,M2
S,L2,H2,H1,L2,L2,M1
L1,M1,L1,L3,M1,L1,H2
L2,L3,M1,M2,H1,L1,M1
L1,M1,L1,L2,M2,M1,L3
L2,M2,H1,M2,H1,L1,L1
L3,M2,L1,L3,H1,L3,S
H2,L1,L2,S,M2,L2,L2
S,L1,L3,S,L3,S,L3
L1,M1,L3,H1,M2,L3,L3
L1,L1,M2,L2,L2,L3,H2
M2,H2,H2,L1,L2,L1,M1
L1,L1,L3,M1,L3,L2,L2
M2,H1,M2,L3,M2,L3,L1
H2,L3,M1,M2,L1,H1,M2
M2,L3,L2,M1,L3,S,H1
L1,S,L2,L3,M1,L1,M2
L3,L3,L3,L3,L1,H2,L3
L3,L2,H2,L3,M2,M1,M2
H2,M2,H1,L2,M2,L3,H2
S,M2,L1,L3,M2,L2,M1
M1,L2,M2,L3,M2,H2,M2
L3,M2,L1,L2,L3,M1,L3
L2,S,L3,L3,L1,L2,L3
H1,L2,L3,H1,L2,H1,L2
L2,L1,L2,S,L3,L1,L2
L3,H2,L1,L2,L3,L3,L3
L3,M2,L2,H1,L1,L3,L2
L1,L3,L3,M2,H2,L3,L3
M1,M1,M2,H2,H1,L3,M1
H2,L2,S,L3,H2,L1,M1
L3,L3,M1,M2,M1,L3,H2
M1,L3,L3,L1,S,L2,L3
L3,L1,S,H1,H1,L1,M2
S,H2,L1,M1,H2,S,M1
L3,L3,H1,L2,M1,M1,L2
M2,L1,M1,M2,M2,L3,L1
M1,L1,L1,M2,L2,M1,L3
L3,L3,L3,M1,L3,M2,L3
H1,L3,H1,H1,H1,L1,L3
M2,M2,M1,L3,L1,S,L1
M2,L3,H1,H2,L2,L2,M1
L2,L3,M2,H1,M2,L3,L1
H1,L2,M1,H1,S,S,H1
L3,S,L1,L3,L2,L1,L1
L1,M2,L3,L2,L2,H1,M2
L3,L2,L3,L3,H2,L2,M2
M2,M1,L1,L2,M2,L1,L1
H1,S,L3,L3,L2,L2,S
L3,L3,L1,M1,M1,H2,S
M1,M2,L1,L2,H2,L3,M2
M1,L3,L1,H1,H2,H2,L1
L3,L2,M2,S,L3,L3,L2
L1,L2,L3,L1,L1,L1,L3
L3,H2,M1,L2,L3,M2,H2
L2,H2,H1,M2,L3,M2,L3
M1,L3,M1,L3,L1,H1,M1
H1,M2,M2,L1,L3,M2,L3
L1,L2,S,M1,M2,L3,M1
L3,L2,M1,H1,M2,H2,L3
M2,L1,L1,L2,L1,L2,L3
H2,L3,H2,H2,L2,M2,M2
L2,L2,L3,L2,L1,L2,L2
S,L2,L3,L2,S,H2,M1
H1,H1,M1,H1,S,L1,S
L1,L2,M1,L3,M1,M1,S
L1,L1,H1,L3,M2,H2,L3
L1,M1,M1,L3,L3,M2,L1
L3,L3,S,S,H2,M2,M1
H1,H1,L3,M1,H1,L2,L1
S,M1,H2,L2,L3,M1,L3
L1,L3,H2,L2,L3,L2,M1
M1,H2,H2,S,L2,M2,M2
L1,M2,M2,L1,S,L3,S
L1,L3,L1,L3,H1,M2,L1
